county,num_of_indiv_A0,num_of_indiv_A1,num_of_indiv_A2,num_of_indiv_A3,num_of_indiv_A4,num_of_indiv_A5,num_of_indiv_A6,num_of_indiv_A7,num_of_indiv_A8,num_of_indiv_A9,num_of_indiv_A10,num_of_indiv_A11,num_of_indiv_A12,num_of_indiv_A13,num_of_indiv_A14,num_of_indiv_A15,num_of_indiv_A16,num_of_indiv_A17,num_of_indiv_A18,num_of_indiv_A19,num_of_indiv_A20,Grand Total
Napa,834.0833333,723.9166667,699.3333333,743.6666667,752,751.9166667,790,821.75,825.75,807.8333333,745.4166667,748.0833333,715.8333333,681.3333333,665.3333333,637.1666667,644.5,621.0833333,595,511.1666667,451.0833333,703.1547619
Nevada,517.6666667,510.5,503.6666667,465.8333333,468.1666667,462.5,489.0833333,497.4166667,485.5833333,458.5833333,441.5833333,436.3333333,458.5833333,445.3333333,442.75,429.0833333,454.8333333,420.5,439.4166667,371.6666667,302.4166667,452.452381
Orange,19229.75,18619.33333,18369.16667,18405.08333,18696.08333,19233.5,20188.16667,21246.25,20858.58333,20014.58333,19463.83333,19081.91667,18827.75,18346,18753.41667,18812.08333,18188.08333,18131.41667,18037.41667,14416.75,13570.25,18594.73413
Placer,1436,1398.083333,1343.666667,1341.5,1317.75,1353.583333,1404.083333,1469.75,1500.916667,1411.916667,1333,1297.416667,1306.166667,1240.75,1269.25,1219.833333,1238.666667,1184.833333,1150.333333,936.9166667,876.1666667,1287.170635
Plumas,116.5833333,119.5,119.9166667,103.25,105.25,109.0833333,102.0833333,108.6666667,106.5,95.58333333,106.4166667,89.5,96,86.91666667,95.41666667,89.16666667,86,84.08333333,70.91666667,82.25,94.5,98.45634921
Riverside,21412.25,20151.91667,19806.75,19555.25,19951.08333,19706.41667,20243.33333,21301.75,21338.75,20260.25,19591.5,19102.75,19040.91667,18616.58333,18882.41667,18307.33333,18099.41667,17797,17169.91667,15129.5,13440.75,18995.51587
Sacramento,12607.66667,12626.5,12295.58333,12108.58333,12130.41667,11950.16667,12102.5,12345.41667,12234.91667,11616.25,11104.91667,10678,10482.58333,10233.41667,10131.25,10048.33333,9689.666667,9741.416667,9555.333333,8549.333333,8567.583333,10990.46825
San Benito,484.0833333,435.75,449.4166667,446.8333333,459.25,426.6666667,450,494,523.25,483.9166667,446,424.6666667,418.3333333,435,429.8333333,392.3333333,393.4166667,387.8333333,366.9166667,313.5,287.25,426.1071429
San Bernardino,22347.58333,20640.91667,20145,19945.83333,20415.58333,20572.66667,21209.91667,21922.08333,21509.75,20636.5,19939.08333,19250.41667,19127.5,18697.5,18690,18432.08333,18347.83333,18143.75,17807,15898.08333,14416.58333,19433.12698
San Diego,21455.66667,19821.41667,19487.91667,19223.5,19343.16667,19303.25,19693.08333,20161.5,19985.33333,19164,18556.75,17822.58333,17559.91667,17139.66667,17390.5,17250.66667,17049,16866.33333,16466.58333,13440.41667,12714.66667,18090.28175
San Francisco,3318.083333,3052.083333,3071.666667,2906.25,2835.666667,2812.833333,2986.166667,3007.166667,2884.083333,2747.583333,2775.083333,2639.916667,2594.416667,2565.666667,2692.916667,2630.916667,2689.75,2747.5,2948.916667,2436.916667,2478.916667,2801.071429
San Joaquin,7440.083333,6877.75,6986.666667,6910.833333,7048.833333,7211,7198.833333,7368.25,7443.25,7149.833333,6805.916667,6501.75,6303.583333,6173.25,6230.333333,5924.333333,5710.083333,5754.25,5522.166667,4810.5,4648.5,6477.142857
San Luis Obispo,1410.416667,1328.583333,1355.5,1339.833333,1367.333333,1395.916667,1354.916667,1456.583333,1456,1365.666667,1357.75,1304.5,1227.25,1167.166667,1181.5,1126.666667,1158.583333,1130.833333,1105.833333,921.1666667,899.4166667,1257.686508
