Reporting Period,County,Age,Number of Eligible Individuals
2015-01,Plumas,20,86
2015-01,Riverside,0,21227
2015-01,Riverside,1,20237
2015-01,Riverside,2,19452
2015-01,Riverside,3,19555
2015-01,Riverside,4,19438
2015-01,Riverside,5,19613
2015-01,Riverside,6,20543
2015-01,Riverside,7,21146
2015-01,Riverside,8,20867
2015-01,Riverside,9,19526
2015-01,Riverside,10,19103
2015-01,Riverside,11,18864
2015-01,Riverside,12,18606
2015-01,Riverside,13,18236
2015-01,Riverside,14,18536
2015-01,Riverside,15,17764
2015-01,Riverside,16,17619
2015-01,Riverside,17,17446
2015-01,Riverside,18,16935
2015-01,Riverside,19,14963
2015-01,Riverside,20,12471
2015-01,Sacramento,0,12786
2015-01,Sacramento,1,12552
2015-01,Sacramento,2,12201
2015-01,Sacramento,3,12048
2015-01,Sacramento,4,11939
2015-01,Sacramento,5,12131
2015-01,Sacramento,6,12175
2015-01,Sacramento,7,12378
2015-01,Sacramento,8,11914
2015-01,Sacramento,9,11370
2015-01,Sacramento,10,10861
2015-01,Sacramento,11,10526
2015-01,Sacramento,12,10307
2015-01,Sacramento,13,10090
2015-01,Sacramento,14,9967
2015-01,Sacramento,15,9800
2015-01,Sacramento,16,9609
2015-01,Sacramento,17,9654
2015-01,Sacramento,18,9677
2015-01,Sacramento,19,8360
2015-01,Sacramento,20,8228
2015-01,San Benito,0,467
2015-01,San Benito,1,455
2015-01,San Benito,2,431
2015-01,San Benito,3,451
2015-01,San Benito,4,439
2015-01,San Benito,5,429
2015-01,San Benito,6,465
2015-01,San Benito,7,519
2015-01,San Benito,8,493
2015-01,San Benito,9,475
2015-01,San Benito,10,417
2015-01,San Benito,11,429
2015-01,San Benito,12,421
2015-01,San Benito,13,439
2015-01,San Benito,14,378
2015-01,San Benito,15,396
2015-01,San Benito,16,382
2015-01,San Benito,17,380
2015-01,San Benito,18,350
2015-01,San Benito,19,299
2015-01,San Benito,20,280
2015-01,San Bernardino,0,22413
2015-01,San Bernardino,1,19974
2015-01,San Bernardino,2,19799
2015-01,San Bernardino,3,19462
2015-01,San Bernardino,4,20011
2015-01,San Bernardino,5,20423
2015-01,San Bernardino,6,21082
2015-01,San Bernardino,7,21488
2015-01,San Bernardino,8,20736
2015-01,San Bernardino,9,19893
2015-01,San Bernardino,10,19205
2015-01,San Bernardino,11,18672
2015-01,San Bernardino,12,18558
2015-01,San Bernardino,13,18200
2015-01,San Bernardino,14,18175
2015-01,San Bernardino,15,17874
2015-01,San Bernardino,16,18045
2015-01,San Bernardino,17,17509
2015-01,San Bernardino,18,17560
2015-01,San Bernardino,19,15550
2015-01,San Bernardino,20,13552
2015-01,San Diego,0,21537
2015-01,San Diego,1,19732
2015-01,San Diego,2,19290
2015-01,San Diego,3,18830
2015-01,San Diego,4,19053
2015-01,San Diego,5,19168
2015-01,San Diego,6,19765
2015-01,San Diego,7,19867
2015-01,San Diego,8,19513
