,county,abortion_medicaid_expenditures,abortion_rs_count_total,daycare_slots_child_facility_capacity,daycare_slots_child_total_pop,daycare_slots_child_rate_slots,daycare_slots_child_num_facility,daycare_slots_child_pct_nonwhite,daycare_slots_infant_facility_capacity,daycare_slots_infant_total_pop,daycare_slots_infant_rate_slots,daycare_slots_infant_num_facility,daycare_slots_infant_pct_nonwhite,graduation_2019_cohort_size,dropout_rate_2019_cohort,ecigs_sold_pct_tobacco_stores_2016,povr_whole_total_estimate,adolescent_birth_abr,asthma_number_of_deaths,asthma_age_adjusted_mortality_rate,asthma_surpressed,infant_mortality_rate,std_chlamydia_rate,std_gonorrhea_rate,std_population,std_syphilis_rate,sui_adjusted_rate_avg,unemployment_rate,medicaid_sum_0_20,gini_coef,dropout_sqrt,dropout_quar_rt,dropout_3rd_rt,dropout_not_zero,dropout_log
36,San Francisco,389019.51,3291.0,14329,26130,548.3735170302334,278,68.60696517412936,1316.0,22409,58.726404569592574,51.0,63.57713418715695,5983,31.4,0.38,27.39242319,7.5,23.0,6.8,0,2.8,886.4,518.6,864783,142.3,8.8095,3.675,58822.50000199998,0.5208,5.60357029,2.367186154582854,3.1548342668761284,31.4001,3.4468110776225123
37,San Joaquin,275769.3,4005.0,10092,44461,226.9854479206496,218,79.28746541913138,828.0,31806,26.03282399547256,37.0,79.65792618,12031,9.1,0.69,41.68895748,21.7,31.0,15.4,0,5.4,488.1,171.7,728110,27.2,10.685,8.941666666666666,136019.99999799998,0.452,3.0166206257996717,1.7368421418769384,2.087759478663449,9.1001,2.208285402473414
38,San Luis Obispo,65447.47,308.0,3512,10991,319.5341643162588,89,46.20143754,205.0,7845,26.131293817718284,9.0,46.69216061185469,2926,4.3,0.89,31.8312255,11.8,6.0,,1,4.8,391.6,61.1,276534,6.9,16.240000000000002,4.775,26411.41667,0.4658,2.073644135332772,1.440015325,1.6261333316791686,4.3001,1.4586382782430578
39,San Mateo,209533.35,2378.0,14799,37173,398.1115325639576,260,68.53361310628681,1171.0,27690,42.28963524738175,39.0,70.27807872878296,7133,6.8,0.54,20.84672052,10.3,33.0,11.2,0,3.1,310.8,70.5,764711,12.7,7.2010000000000005,3.45,59429.33333400001,0.4859,2.6076809620810595,1.6148315584236823,1.8945364743718192,6.8001,1.9169373179562836
40,Santa Barbara,146329.56,702.0,6425,22120,290.46112115732376,149,73.26853526220611,446.0,16335,27.303336394245484,19.0,74.55157636975822,5221,9.4,0.74,37.51250401,19.1,6.0,,1,4.6,515.4,75.6,444491,13.9,11.935,5.333333333333333,68665.33333200001,0.4811,3.0659419433511785,1.7509831362269537,2.110454294,9.4001,2.2407203275172445
41,Santa Clara,707896.94,3684.0,41281,100993,408.7511015614944,602,78.01035715346607,3808.0,73761,51.62619812638116,130.0,79.37392388931822,21276,9.0,0.59,22.68560109,10.6,67.0,11.1,0,3.3,352.9,93.0,1918777,11.8,7.470000000000001,4.191666666666666,170611.0,0.4629,3.0,1.7320508075688772,2.080083823051904,9.0001,2.1972356883856023
42,Santa Cruz,156590.6,790.0,3544,12167,291.27969096737075,97,62.13528396482289,384.0,8907,43.11215897608624,23.0,62.72594588525877,3235,12.3,0.57,32.04394687,12.3,,,1,4.3,356.2,65.9,274563,18.6,15.165,7.533333333333332,33529.49999699999,0.4833,3.5071355833500366,1.8727347872429871,2.3083502397536084,12.3001,2.509607392426624
43,Shasta,70095.63,1340.0,2719,8315,326.9993986770896,70,29.368610944076952,235.0,6102,38.51196329072436,12.0,29.40019665683383,2211,8.7,0.75,40.68553213,21.7,6.0,,1,4.4,362.2,205.2,178365,6.7,22.655,7.824999999999999,25854.58334,0.4584,2.949576240750525,1.7174330382144525,2.056710116205964,8.700099999999999,2.163334519847353
44,Sierra,507.09,,30,108,277.7777777777778,1,19.444444444444443,,92,,,27.17391304347826,23,0.0,0.0,30.62520896,0.0,0.0,0.0,0,0.0,95.3,95.3,3149,0.0,0.0,8.799999999999999,287.1691198,0.4638,0.0,0.0,0.0,0.0001,-9.210340372
45,Siskiyou,1578.46,165.0,663,2004,330.83832335329345,22,34.78043912,56.0,1478,37.889039242219205,4.0,37.07713125845737,470,6.8,0.66,46.87967244,0.0,,,1,0.0,211.3,18.0,44491,0.0,21.915,9.433333333333335,6582.5,0.45845,2.6076809620810595,1.6148315584236823,1.8945364743718192,6.8001,1.9169373179562836
46,Solano,272060.71,2642.0,4135,21735,190.2461468,93,72.85024154589374,399.0,15978,24.97183627487797,15.0,73.31330579546876,4880,12.3,0.76,29.55450941,15.0,20.0,14.4,0,5.7,565.8,159.8,429272,16.5,11.11,6.166666666666667,50749.16667,0.425,3.5071355833500366,1.8727347872429871,2.3083502397536084,12.3001,2.509607392426624
47,Sonoma,170796.0,1952.0,6139,23097,265.79209421136954,145,56.43590076633328,286.0,16540,17.29141475211609,17.0,57.79322853688028,5363,11.8,0.72,29.1992805,10.8,12.0,5.9,0,3.0,377.9,88.4,500919,15.4,11.989999999999998,4.508333333333334,54898.58334,0.4657,3.435112807463533,1.8534057320143191,2.276638114962505,11.8001,2.468108006011981
48,Stanislaus,345628.18,2536.0,6347,32313,196.4224924952805,128,69.58809148020921,513.0,23638,21.702343683898803,30.0,69.78593789660718,8504,9.5,0.69,44.0032446,25.2,20.0,13.0,0,5.1,468.2,140.1,537608,20.6,10.35,9.55,104262.3333,0.4485,3.082207001484488,1.7556215427832071,2.117911792127446,9.5001,2.2513023248668835
49,Sutter,70620.3,469.0,1428,5895,242.23918575063607,33,63.935538592027136,119.0,4202,28.31984769157544,7.0,65.23084245597335,1873,10.0,0.71,43.52113574,20.7,6.0,,1,5.8,320.6,98.3,97617,3.1,15.02,10.758333333333333,18273.24999980001,0.4511,3.1622776601683795,1.7782794100389228,2.154434690031884,10.0001,2.302595092944046
50,Tehama,6886.41,224.0,765,3539,216.16275784119804,25,44.22153150607515,74.0,2587,28.60456126787785,4.0,45.72864321608039,705,4.7,0.72,46.04058958,29.7,0.0,0.0,0,4.6,309.5,114.1,63977,1.6,17.32,7.949999999999999,12110.333333399998,0.4632,2.167948339,1.4723954424229515,1.6750686836022342,4.7001,1.547583785085414
51,Trinity,0.0,73.0,109,535,203.73831775700927,5,27.66355140186916,,335,,,25.671641791044767,145,15.2,0.48,44.01065449,0.0,0.0,0.0,0,0.0,191.7,88.5,13562,0.0,43.87,7.858333333333334,1754.1666667000002,0.4751,3.898717737923585,1.974517089802868,2.4771246592603413,15.2001,2.721302006777958
52,Tulare,53036.76,585.0,5719,33044,173.07226727999037,117,81.99975789855951,133.0,24589,5.408922689007281,5.0,82.99239497336207,7540,7.4,0.64,55.4200778,36.0,15.0,12.0,0,6.2,465.4,144.5,464337,11.0,10.71,11.7,123930.1667,0.4772,2.7202941017470885,1.6493314105258192,1.9486951603746576,7.4001,2.001493513632331
53,Tuolumne,2754.9,81.0,652,1956,333.33333333333326,18,25.76687116564417,37.0,1345,27.509293680297404,3.0,25.35315985130112,521,7.5,0.73,32.94143261,0.0,6.0,,1,8.7,188.9,62.4,54529,9.2,16.535,7.075,5436.5,0.4612,2.7386127875258306,1.6548754598234363,1.957433820584432,7.5001,2.014916354
54,Ventura,195961.16,1913.0,13616,45414,299.8194389,217,68.91487207,1040.0,32452,32.04733144,35.0,70.56575866,10829,6.0,0.69,28.19868322,16.6,24.0,8.7,0,3.9,318.0,72.9,852199,6.2,10.855,5.675,106734.6667,0.4404,2.449489742783178,1.565084580073287,1.81712059283214,6.0001,1.7917761357558344
55,Yolo,45289.57,671.0,3411,10130,336.7226061204343,73,64.26456071076011,302.0,7372,40.96581660336408,19.0,65.50461204557784,2342,6.7,0.74,39.58808806,8.9,,,1,4.7,384.3,88.8,212850,15.5,10.4925,6.491666666666667,24661.08333,0.4815,2.588435821108957,1.6088616538127063,1.885203631020986,6.7001,1.9021224516586723
56,Yuba,7417.3,252.0,964,4949,194.78682562133764,20,55.02121640735504,43.0,3736,11.509635974304064,3.0,55.139186295503215,987,17.0,0.72,45.9651647,28.8,,,1,7.5,359.9,107.2,75579,0.0,17.06,9.358333333333334,13827.916666799998,0.44015,4.123105625617661,2.0305431848689306,2.571281590658235,17.0001,2.833219226391856
